Frequency (Hz),Channel 1 (dBSPL),Channel 2 (dBSPL),Channel 3 (dBSPL),Channel 4 (dBSPL),Channel 5 (dBSPL),Channel 6 (dBSPL)
20.0,86.85,87.3,87.35,87.38,87.25,87.45
21.83,87.01,87.48,87.45,87.44,87.51,87.73
23.82,87.16,87.47,87.5,87.64,87.4,87.74
26.0,87.28,87.48,87.61,87.4,87.48,87.98
28.37,87.58,87.74,87.7,87.5,87.66,87.95
30.97,87.46,87.67,87.71,87.73,87.98,88.47
33.8,87.88,88.0,87.92,87.77,88.22,88.58
36.89,87.76,88.2,88.13,88.1,88.49,88.94
40.26,87.99,88.15,88.15,88.22,88.75,89.46
43.93,88.48,88.47,88.43,88.57,89.12,89.61
47.95,88.55,88.67,88.81,88.86,89.4,89.92
52.33,88.67,88.74,89.14,89.22,89.65,90.42
57.11,88.93,88.98,89.21,89.64,90.25,90.97
62.33,89.06,89.35,89.56,90.14,90.55,91.14
68.03,89.56,89.55,90.13,90.53,91.07,91.45
74.24,89.71,90.06,90.33,91.09,91.44,91.8
81.03,89.97,90.47,90.98,91.36,91.88,92.34
88.43,90.4,90.72,91.24,91.9,92.4,92.61
96.51,90.56,90.88,91.57,92.24,92.62,92.72
105.33,90.92,91.22,91.81,92.32,92.84,93.13
114.95,90.96,91.62,92.16,92.86,93.12,93.25
125.46,91.47,91.83,92.73,92.9,93.27,93.49
136.92,91.45,92.35,92.98,93.21,93.42,93.7
149.43,91.86,92.42,93.14,93.66,93.66,93.59
163.09,92.18,92.95,93.54,93.7,93.8,93.91
177.99,92.19,93.22,93.5,93.63,93.9,93.67
194.25,92.67,93.23,93.62,93.86,93.9,93.71
212.01,92.8,93.45,93.9,93.92,94.02,93.71
231.38,92.9,93.7,93.99,93.79,94.02,94.03
252.52,93.16,93.77,93.75,93.95,94.01,93.94
275.59,93.41,93.74,93.86,93.76,93.83,94.02
300.78,93.42,93.68,94.01,93.89,93.91,93.89
328.26,93.3,93.88,93.94,93.67,93.94,94.14
358.26,93.32,93.92,93.88,93.6,93.7,94.0
390.99,93.44,93.71,93.75,93.71,93.92,94.33
426.72,93.35,93.6,93.65,93.62,93.73,94.36
465.71,93.41,93.76,93.71,93.64,93.75,94.33
508.27,93.53,93.71,93.5,93.73,94.05,94.45
554.71,93.23,93.32,93.37,93.67,93.94,94.59
605.4,93.24,93.52,93.52,93.75,94.14,94.87
660.72,93.31,93.32,93.44,93.81,94.25,94.76
721.09,93.28,93.37,93.5,93.72,94.43,94.9
786.99,93.08,93.24,93.47,93.95,94.53,95.17
858.9,92.97,93.14,93.4,94.17,94.48,94.99
937.38,92.86,93.27,93.8,94.2,94.82,95.36
1023.04,92.97,93.3,93.82,94.17,94.83,95.27
1116.52,92.91,93.58,93.85,94.44,95.17,95.39
1218.54,93.31,93.43,94.17,94.7,95.07,95.66
1329.89,93.34,93.82,94.29,95.11,95.52,95.8
1451.41,93.38,93.93,94.53,95.12,95.7,95.97
1584.03,93.55,94.31,94.82,95.25,95.71,95.83
1728.78,93.91,94.48,95.13,95.78,95.73,95.85
1886.75,94.02,94.71,95.5,95.96,95.96,96.15
2059.15,94.13,95.08,95.47,95.91,95.87,95.95
2247.31,94.44,95.18,95.43,95.75,95.9,95.82
2452.66,94.33,95.25,95.64,95.68,95.84,95.86
2676.78,94.29,95.11,95.34,95.47,95.78,95.57
2921.37,94.23,94.72,95.41,95.27,95.19,95.35
3188.32,93.98,94.65,95.19,95.16,94.96,95.17
3479.66,94.13,94.66,94.66,94.77,94.68,94.81
3797.62,93.96,94.44,94.29,94.28,94.54,94.56
4144.63,93.63,94.0,94.33,94.25,94.2,94.16
4523.35,93.34,93.94,93.96,93.88,93.69,94.15
4936.68,93.46,93.54,93.56,93.67,93.52,93.83
5387.78,93.04,93.26,93.4,93.52,93.65,93.78
5880.1,92.86,93.17,93.19,93.11,93.42,93.86
6417.4,92.99,92.92,92.99,93.12,93.33,93.62
7003.8,92.6,92.91,92.68,92.79,93.06,93.54
7643.79,92.56,92.59,92.45,92.55,93.04,93.56
8342.25,92.1,92.22,92.23,92.69,92.86,93.42
9104.54,92.1,92.16,92.33,92.59,93.04,93.59
9936.48,91.63,91.84,91.95,92.29,92.98,93.5
10844.44,91.5,91.73,91.66,92.02,92.72,93.3
11835.37,91.01,91.34,91.68,92.1,92.63,93.14
12916.85,90.68,91.02,91.28,91.94,92.55,92.93
14097.15,90.51,90.63,91.34,91.89,92.32,92.57
15385.3,90.06,90.54,91.11,91.39,92.15,92.62
16791.16,89.61,90.17,90.55,91.06,91.82,92.01
18325.48,89.35,89.76,90.51,90.96,91.51,91.63
20000.0,88.77,89.34,89.91,90.53,90.87,91.08
