 Test Run ID ,Unit ID,Material ,Test Date,Machine ID,Sample Thickness (mm),Elapsed Time (s),Load (kN),Extension (mm),Operator,Sensor Status
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,0,0.00,-0.018,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,10,18.70,0.233,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,20,34.57,0.351,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,30,49.34,0.596,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,40,63.82,0.720,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,50,78.53,0.852,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,60,92.50,1.006,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,70,105.79,1.291,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,80,118.42,1.465,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,90,106.34,1.550,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,100,94.37,1.730,B. Chen,OK
TT-2026-001,UT-001, Steel-4140,2026-07-01,TT-01,4.48,110,82.63,1.922,B. Chen,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,0,0.06,0.044,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,10,9.10,0.235,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,20,16.60,0.338,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,30,23.84,0.538,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,40,31.51,0.705,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,50,37.48,0.821,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,60,44.96,1.131,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,70,44.81,1.223,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,80,38.70,1.505,C. Patel,OK
TT-2026-002,UT-002,aluminum-6061,2026-07-01,TT-02,3.51,90,33.61,1.559,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,0,0.65,-0.044,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,10,6.73,0.226,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,20,12.91,0.351,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,30,18.23,0.473,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,40,22.87,0.663,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,50,28.40,0.863,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,60,32.61,1.082,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,70,37.70,1.256,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,80,35.33,1.504,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,90,31.85,1.654,C. Patel,OK
TT-2026-003,UT-003,Copper-C110,2026-07-02,TT-01,3.35,100,27.13,1.869,C. Patel,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,0,0.00,0.030,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,10,14.95,0.248,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,20,27.76,0.375,B. Chen,OK
