Frequency (Hz),Channel 1 (dBSPL),Channel 2 (dBSPL),Channel 3 (dBSPL),Channel 4 (dBSPL),Channel 5 (dBSPL),Channel 6 (dBSPL)
20.0,71.56,71.93,71.99,72.38,72.7,73.27
21.83,71.53,71.65,71.77,72.11,72.73,73.05
23.82,71.22,71.37,71.63,72.09,72.63,73.05
26.0,71.18,71.32,71.55,72.18,72.72,73.19
28.37,70.85,71.28,71.48,72.1,72.51,73.28
30.97,70.61,71.08,71.36,72.06,72.55,73.07
33.8,70.68,70.79,71.43,71.78,72.6,72.96
36.89,70.32,70.79,71.3,72.02,72.41,72.87
40.26,70.11,70.67,71.39,71.71,72.08,72.42
43.93,70.2,70.52,71.31,71.68,72.18,72.29
47.95,69.95,70.41,70.94,71.36,71.97,71.93
52.33,69.91,70.39,70.75,71.17,71.64,71.91
57.11,69.53,70.21,70.8,70.89,71.32,71.51
62.33,69.46,70.06,70.54,70.59,70.99,70.97
68.03,69.38,69.97,70.37,70.32,70.55,70.79
74.24,69.12,69.52,69.98,70.07,70.17,70.43
81.03,68.85,69.51,69.63,69.78,69.79,70.22
88.43,68.6,69.05,69.15,69.43,69.69,69.74
96.51,68.37,68.86,69.1,69.11,69.3,69.37
105.33,68.2,68.35,68.57,68.79,69.07,69.2
114.95,67.87,68.29,68.16,68.37,68.67,69.15
125.46,67.67,67.78,68.06,68.13,68.35,68.82
136.92,67.38,67.66,67.66,67.8,68.3,68.85
149.43,67.09,67.08,67.43,67.62,68.06,68.6
163.09,66.72,66.95,67.3,67.51,67.97,68.34
177.99,66.52,66.69,66.89,67.37,67.95,68.48
194.25,66.36,66.5,66.69,67.21,67.87,68.47
212.01,66.21,66.24,66.57,67.19,67.78,68.15
231.38,66.01,66.31,66.73,67.08,67.77,68.18
252.52,65.85,66.17,66.67,67.09,67.57,68.16
275.59,65.76,66.01,66.46,66.95,67.58,68.11
300.78,65.47,65.91,66.7,67.03,67.61,67.8
328.26,65.59,66.19,66.45,66.99,67.54,67.94
358.26,65.56,66.14,66.69,67.1,67.53,67.76
390.99,65.42,65.97,66.62,67.03,67.21,67.49
426.72,65.61,66.26,66.65,67.09,67.08,67.32
465.71,65.49,65.99,66.69,66.85,67.02,67.17
508.27,65.69,66.08,66.54,66.89,66.93,67.12
554.71,65.56,66.08,66.61,66.75,66.97,66.97
605.4,65.86,66.19,66.29,66.64,66.77,66.78
660.72,65.84,66.12,66.43,66.49,66.44,66.94
721.09,65.59,66.11,66.06,66.2,66.58,66.76
786.99,65.56,65.83,66.14,66.08,66.48,66.69
858.9,65.63,65.73,66.14,66.21,66.24,66.72
937.38,65.63,65.86,65.97,66.07,66.36,66.71
1023.04,65.46,65.77,65.82,65.89,66.42,66.77
1116.52,65.48,65.63,65.61,65.95,66.43,66.77
1218.54,65.42,65.58,65.65,66.1,66.52,67.06
1329.89,65.2,65.54,65.73,65.96,66.39,67.18
1451.41,65.27,65.49,65.74,65.93,66.67,67.3
1584.03,65.17,65.34,65.65,66.21,66.63,67.12
1728.78,64.89,65.35,65.78,66.14,66.74,67.37
1886.75,64.89,65.46,65.76,66.5,66.81,67.4
2059.15,64.96,65.39,66.04,66.5,67.1,67.32
2247.31,65.0,65.51,66.01,66.42,67.09,67.26
2452.66,65.07,65.77,66.09,66.52,67.18,67.43
2676.78,65.3,65.77,66.32,66.86,67.06,67.45
2921.37,65.28,65.71,66.24,66.74,67.0,67.2
3188.32,65.28,65.96,66.46,66.74,67.09,67.4
3479.66,65.38,66.06,66.39,66.66,67.07,67.11
3797.62,65.69,66.17,66.69,66.82,66.86,67.14
4144.63,65.88,66.3,66.65,66.9,66.89,67.11
4523.35,65.8,66.37,66.61,66.7,66.88,67.09
4936.68,66.04,66.31,66.77,66.77,66.89,67.19
5387.78,66.0,66.28,66.64,66.74,66.84,67.08
5880.1,66.19,66.48,66.67,66.69,66.95,67.34
6417.4,66.21,66.39,66.47,66.58,66.91,67.16
7003.8,66.19,66.57,66.66,66.83,66.98,67.4
7643.79,66.26,66.51,66.74,66.75,67.04,67.77
8342.25,66.29,66.7,66.87,66.87,67.22,67.9
9104.54,66.64,66.49,66.88,67.1,67.54,68.18
9936.48,66.59,66.6,67.01,67.49,67.96,68.31
10844.44,66.71,66.83,67.34,67.73,68.04,68.78
11835.37,66.99,67.06,67.49,67.89,68.45,69.06
12916.85,66.98,67.59,68.01,68.42,68.96,69.33
14097.15,67.49,67.73,68.43,68.91,69.22,69.75
15385.3,67.75,68.13,68.84,69.17,69.66,70.13
16791.16,68.17,68.71,69.34,69.66,70.31,70.52
18325.48,68.86,69.39,69.92,70.33,70.76,71.0
20000.0,69.31,69.88,70.63,70.98,71.47,71.79
